ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS
34045	Fuzhou	節	ʦ.i.e.ʔ.²³	ʦ.i.e.ʔ.²³	ts i/j e ʔ ²³
34046	Shanghai	節	ʦ.ɪ.ʔ.⁵	ʦ.ɪ.ʔ.⁵	ts ɪ ʔ ⁵
34047	Zhongyuan_Yinyun	節	ʦ.i.e.R¹	ʦ.i.e.R¹	ts i/j e R¹/²¹⁴
34048	Beijing	篆	tʂ.u.a.n.⁵¹	tʂ.u.a.n.⁵¹	ʈʂ u/w a n ⁵¹
34049	Jinan	篆	tʂ.u.aː ²¹	tʂ.u.aː ²¹	ʈʂ uaː ²¹
34050	Xi_an	篆	pf.aː ⁵⁵	pf.aː ⁵⁵	pf aː ⁵⁵
34051	Taiyuan	篆	ʦ.u.æː ⁴⁵	ʦ.u.æː ⁴⁵	ts uæː ⁴⁵
34052	Hankou	篆	ʦ.u.a.n.³⁵	ʦ.u.a.n.³⁵	ts u/w a n ³⁵
34053	Chengdu	篆	ʦ.u.a.n.¹³	ʦ.u.a.n.¹³	ts u/w a n ¹³
34054	Yangzhou	篆	ʦ.u.oː ⁵⁵	ʦ.u.oː ⁵⁵	ts uoː ⁵⁵
34055	Suzhou	篆	z.ø.³¹	z.ø.³¹	z ø ³¹
34056	Wenzhou	篆	ʥ.y.³⁴	ʥ.y.³⁴	dʑ y ³⁴
34057	Changsha	篆	ʨ.y.eː ⁵⁵	ʨ.y.eː ⁵⁵	tɕ yeː ⁵⁵
34058	Shuangfeng	篆	d.u.iː ³³	d.u.iː ³³	d uiː ³³
34059	Nanchang	篆	ʦʰ.ɔ.n.²¹	ʦʰ.ɔ.n.²¹	tsʰ ɔ n ²¹
34060	Meixian	篆	ʦʰ.ɔ.n.⁵²	ʦʰ.ɔ.n.⁵²	tsʰ ɔ n ⁵²
34061	Guangzhou	篆	ʃ.y.n.²²	ʃ.y.n.²²	ʃ y n ²²
34062	Xiamen	篆	t.u.a.n.³³	t.u.a.n.³³	t u/w a n ³³
34063	Chaozhou	篆	t.u.e.ŋ.³⁵	t.u.e.ŋ.³⁵	t u/w e ŋ ³⁵
34064	Fuzhou	篆	t.u.ɔ.ŋ.²⁴²	t.u.ɔ.ŋ.²⁴²	t u/w ɔ ŋ ²⁴²
34065	Shanghai	篆	ʦ.ø.³⁵/⁵⁵	ʦ.ø.³⁵/⁵⁵	ts ø ³⁵/⁵⁵
34066	Zhongyuan_Yinyun	篆	ʧ.y.e.n.Q	ʧ.y.e.n.Q	tʃ y/ɥ e n Q/⁵¹
34067	Beijing	篇	pʰ.i.a.n.⁵⁵	pʰ.i.a.n.⁵⁵	pʰ i/j a n ⁵⁵
34068	Jinan	篇	pʰ.i.aː ²¹³	pʰ.i.aː ²¹³	pʰ iaː ²¹³
34069	Xi_an	篇	pʰ.i.aː ²¹	pʰ.i.aː ²¹	pʰ iaː ²¹
34070	Taiyuan	篇	pʰ.i.ɛ.¹¹	pʰ.i.ɛ.¹¹	pʰ i/j ɛ ¹¹
34071	Hankou	篇	pʰ.i.a.n.⁵⁵	pʰ.i.a.n.⁵⁵	pʰ i/j a n ⁵⁵
34072	Chengdu	篇	pʰ.i.a.n.⁴⁴	pʰ.i.a.n.⁴⁴	pʰ i/j a n ⁴⁴
34073	Yangzhou	篇	pʰ.ɿː ²¹	pʰ.ɿː ²¹	pʰ ɿː ²¹
34074	Suzhou	篇	pʰ.ɪ.⁴⁴	pʰ.ɪ.⁴⁴	pʰ ɪ ⁴⁴
34075	Wenzhou	篇	pʰ.i.⁴⁴	pʰ.i.⁴⁴	pʰ i ⁴⁴
34076	Changsha	篇	pʰ.i.eː ³³	pʰ.i.eː ³³	pʰ ieː ³³
34077	Shuangfeng	篇	pʰ.ɪː ⁵⁵	pʰ.ɪː ⁵⁵	pʰ ɪː ⁵⁵
34078	Nanchang	篇	pʰ.i.ɛ.n.⁴²	pʰ.i.ɛ.n.⁴²	pʰ i/j ɛ n ⁴²
34079	Meixian	篇	pʰ.i.ɛ.n.⁴⁴	pʰ.i.ɛ.n.⁴⁴	pʰ i/j ɛ n ⁴⁴
34080	Guangzhou	篇	pʰ.i.n.⁵³/⁵⁵	pʰ.i.n.⁵³/⁵⁵	pʰ i n ⁵³/⁵⁵
34081	Xiamen	篇	pʰ.i.a.n.⁵⁵	pʰ.i.a.n.⁵⁵	pʰ i/j a n ⁵⁵
34082	Xiamen	篇	pʰ.iː ⁵⁵	pʰ.iː ⁵⁵	pʰ iː ⁵⁵
34083	Chaozhou	篇	p.i.e.ŋ.³³	p.i.e.ŋ.³³	p i/j e ŋ ³³
34084	Fuzhou	篇	pʰ.i.e.ŋ.⁴⁴	pʰ.i.e.ŋ.⁴⁴	pʰ i/j e ŋ ⁴⁴
34085	Shanghai	篇	pʰ.ɪ.⁵³	pʰ.ɪ.⁵³	pʰ ɪ ⁵³
34086	Zhongyuan_Yinyun	篇	pʰ.i.e.n.P	pʰ.i.e.n.P	pʰ i/j e n P/⁵⁵
34107	Beijing	篦	p.i.⁵¹	p.i.⁵¹	p i ⁵¹
34108	Jinan	篦	p.i.²¹	p.i.²¹	p i ²¹
34109	Xi_an	篦	p.i.⁵⁵	p.i.⁵⁵	p i ⁵⁵
34110	Taiyuan	篦	p.i.⁴⁵	p.i.⁴⁵	p i ⁴⁵
34111	Hankou	篦	p.i.³⁵	p.i.³⁵	p i ³⁵
34112	Chengdu	篦	p.i.¹³	p.i.¹³	p i ¹³
34113	Yangzhou	篦	p.i.⁵⁵	p.i.⁵⁵	p i ⁵⁵
34114	Suzhou	篦	b.i.³¹	b.i.³¹	b i ³¹
34115	Wenzhou	篦	b.e.i.²²	b.e.i.²²	b ei ²²
34116	Changsha	篦	p.e.i.⁵⁵	p.e.i.⁵⁵	p ei ⁵⁵
34117	Shuangfeng	篦	b.i.³³	b.i.³³	b i ³³
34118	Nanchang	篦	pʰ.i.²¹	pʰ.i.²¹	pʰ i ²¹
34119	Meixian	篦	p.i.⁵²	p.i.⁵²	p i ⁵²
34120	Guangzhou	篦	p.e.i.²²	p.e.i.²²	p ei ²²
34121	Xiamen	篦	p.e.¹¹	p.e.¹¹	p e ¹¹
34122	Chaozhou	篦	p.i.²¹³	p.i.²¹³	p i ²¹³
34123	Fuzhou	篦	p.e.i.²⁴²	p.e.i.²⁴²	p ei ²⁴²
34124	Shanghai	篦	p.i.¹³	p.i.¹³	p i ¹³
34125	Zhongyuan_Yinyun	篦	p.i.P	p.i.P	p i P/⁵⁵
34087	Beijing	篩	ʂ.a.i.⁵⁵	ʂ.a.i.⁵⁵	ʂ ai ⁵⁵
34088	Jinan	篩	ʂ.ɛ.²¹³	ʂ.ɛ.²¹³	ʂ ɛ ²¹³
34089	Xi_an	篩	s.ɛ.²¹	s.ɛ.²¹	s ɛ ²¹
34090	Taiyuan	篩	s.a.i.¹¹	s.a.i.¹¹	s ai ¹¹
34091	Hankou	篩	s.a.i.⁵⁵	s.a.i.⁵⁵	s ai ⁵⁵
34092	Chengdu	篩	s.a.i.⁴⁴	s.a.i.⁴⁴	s ai ⁴⁴
34093	Yangzhou	篩	s.ɛ.²¹	s.ɛ.²¹	s ɛ ²¹
34094	Suzhou	篩	s.ɒ.⁴⁴	s.ɒ.⁴⁴	s ɒ ⁴⁴
34095	Wenzhou	篩	s.ɿ.⁴⁴	s.ɿ.⁴⁴	s ɿ ⁴⁴
34096	Changsha	篩	s.a.i.³³	s.a.i.³³	s ai ³³
34097	Shuangfeng	篩	s.a.⁵⁵	s.a.⁵⁵	s a ⁵⁵
34098	Nanchang	篩	s.a.i.⁴²	s.a.i.⁴²	s ai ⁴²
34099	Meixian	篩	s.a.i.⁴⁴	s.a.i.⁴⁴	s ai ⁴⁴
34100	Guangzhou	篩	ʃ.a.i.⁵³/⁵⁵	ʃ.a.i.⁵³/⁵⁵	ʃ ai ⁵³/⁵⁵
34101	Xiamen	篩	s.a.i.⁵⁵	s.a.i.⁵⁵	s ai ⁵⁵
34102	Xiamen	篩	tʰ.a.i.⁵⁵	tʰ.a.i.⁵⁵	tʰ ai ⁵⁵
34103	Chaozhou	篩	s.a.i.³³	s.a.i.³³	s ai ³³
34104	Fuzhou	篩	s.a.i.⁴⁴	s.a.i.⁴⁴	s ai ⁴⁴
34105	Shanghai	篩	s.E.⁵³	s.E.⁵³	s ᴇ/ɛ ⁵³
34106	Zhongyuan_Yinyun	篩	ʃ.a.i.P	ʃ.a.i.P	ʃ ai P/⁵⁵
34126	Beijing	篷	pʰ.ə.ŋ.³⁵	pʰ.ə.ŋ.³⁵	pʰ ə ŋ ³⁵
34127	Jinan	篷	pʰ.ə.ŋ.⁴²	pʰ.ə.ŋ.⁴²	pʰ ə ŋ ⁴²
34128	Xi_an	篷	pʰ.ə.ŋ.²⁴	pʰ.ə.ŋ.²⁴	pʰ ə ŋ ²⁴
34129	Taiyuan	篷	pʰ.ə.ŋ.¹¹	pʰ.ə.ŋ.¹¹	pʰ ə ŋ ¹¹
34130	Hankou	篷	pʰ.o.ŋ.²¹³	pʰ.o.ŋ.²¹³	pʰ o ŋ ²¹³
34131	Chengdu	篷	pʰ.o.ŋ.³¹	pʰ.o.ŋ.³¹	pʰ o ŋ ³¹
34132	Yangzhou	篷	pʰ.ɔ.u.ŋ.³⁴	pʰ.ɔ.u.ŋ.³⁴	pʰ ɔu ŋ ³⁴
34133	Suzhou	篷	b.o.ŋ.²⁴	b.o.ŋ.²⁴	b o ŋ ²⁴
34134	Wenzhou	篷	b.o.ŋ.³¹	b.o.ŋ.³¹	b o ŋ ³¹
34135	Changsha	篷	p.o.ŋ.¹³	p.o.ŋ.¹³	p o ŋ ¹³
34136	Shuangfeng	篷	b.a.ŋ.²³	b.a.ŋ.²³	b a ŋ ²³
34137	Shuangfeng	篷	b.ə.n.²³	b.ə.n.²³	b ə n ²³
34138	Nanchang	篷	pʰ.u.ŋ.²⁴	pʰ.u.ŋ.²⁴	pʰ u ŋ ²⁴
34139	Meixian	篷	pʰ.u.ŋ.¹¹	pʰ.u.ŋ.¹¹	pʰ u ŋ ¹¹
34140	Guangzhou	篷	pʰ.u.ŋ.²¹	pʰ.u.ŋ.²¹	pʰ u ŋ ²¹
34141	Xiamen	篷	pʰ.ɔ.ŋ.²⁴	pʰ.ɔ.ŋ.²⁴	pʰ ɔ ŋ ²⁴
34142	Xiamen	篷	pʰ.a.ŋ.²⁴	pʰ.a.ŋ.²⁴	pʰ a ŋ ²⁴
34143	Chaozhou	篷	pʰ.o.ŋ.⁵⁵	pʰ.o.ŋ.⁵⁵	pʰ o ŋ ⁵⁵
34144	Fuzhou	篷	pʰ.u.ŋ.⁵²	pʰ.u.ŋ.⁵²	pʰ u ŋ ⁵²
34145	Shanghai	篷	p.o.ŋ.¹³	p.o.ŋ.¹³	p o ŋ ¹³
34146	Zhongyuan_Yinyun	篷	pʰ.u.ŋ.P²	pʰ.u.ŋ.P²	pʰ u ŋ P²/⁵⁵
34147	Beijing	簡	ʨ.i.a.n.²¹⁴	ʨ.i.a.n.²¹⁴	tɕ i/j a n ²¹⁴
34148	Jinan	簡	ʨ.i.aː ⁵⁵	ʨ.i.aː ⁵⁵	tɕ iaː ⁵⁵
34149	Xi_an	簡	ʨ.i.aː ⁵³	ʨ.i.aː ⁵³	tɕ iaː ⁵³
34150	Taiyuan	簡	ʨ.i.ɛ.⁵³	ʨ.i.ɛ.⁵³	tɕ i/j ɛ ⁵³
34151	Hankou	簡	ʨ.i.a.n.⁴²	ʨ.i.a.n.⁴²	tɕ i/j a n ⁴²
34152	Chengdu	簡	ʨ.i.a.n.⁵³	ʨ.i.a.n.⁵³	tɕ i/j a n ⁵³
34153	Yangzhou	簡	ʨ.i.ɛː ⁴²	ʨ.i.ɛː ⁴²	tɕ iɛː ⁴²
34154	Suzhou	簡	ʨ.ɪ.⁵²	ʨ.ɪ.⁵²	tɕ ɪ ⁵²
34155	Wenzhou	簡	k.a.⁴⁵	k.a.⁴⁵	k a ⁴⁵
34156	Changsha	簡	k.a.n.⁴¹	k.a.n.⁴¹	k a n ⁴¹
34157	Shuangfeng	簡	k.aː ²¹	k.aː ²¹	k aː ²¹
34158	Nanchang	簡	k.a.n.²¹³	k.a.n.²¹³	k a n ²¹³
34159	Meixian	簡	k.i.a.n.³¹	k.i.a.n.³¹	k i/j a n ³¹
34160	Guangzhou	簡	k.a:.n.³⁵	k.a:.n.³⁵	k aː n ³⁵
34161	Xiamen	簡	k.a.n.⁵¹	k.a.n.⁵¹	k a n ⁵¹
34162	Chaozhou	簡	k.a.ŋ.⁵³	k.a.ŋ.⁵³	k a ŋ ⁵³
34163	Fuzhou	簡	k.a.ŋ.³¹	k.a.ŋ.³¹	k a ŋ ³¹
34164	Shanghai	簡	ʨ.ɪ.³⁵/⁵⁵	ʨ.ɪ.³⁵/⁵⁵	tɕ ɪ ³⁵/⁵⁵
34165	Zhongyuan_Yinyun	簡	k.i.a.n.S	k.i.a.n.S	k i/j a n S/³⁵
34166	Beijing	簫	ɕ.i.a.u.⁵⁵	ɕ.i.a.u.⁵⁵	ɕ i/j au ⁵⁵
34167	Jinan	簫	ɕ.i.ɔ.²¹³	ɕ.i.ɔ.²¹³	ɕ i/j ɔ ²¹³
34168	Xi_an	簫	ɕ.i.a.u.²¹	ɕ.i.a.u.²¹	ɕ i/j au ²¹
34169	Taiyuan	簫	ɕ.i.a.u.¹¹	ɕ.i.a.u.¹¹	ɕ i/j au ¹¹
34170	Hankou	簫	ɕ.i.a.u.⁵⁵	ɕ.i.a.u.⁵⁵	ɕ i/j au ⁵⁵
34171	Chengdu	簫	ɕ.i.a.u.⁴⁴	ɕ.i.a.u.⁴⁴	ɕ i/j au ⁴⁴
34172	Yangzhou	簫	ɕ.i.ɔ.²¹	ɕ.i.ɔ.²¹	ɕ i/j ɔ ²¹
34173	Suzhou	簫	s.i.æ.⁴⁴	s.i.æ.⁴⁴	s i/j æ ⁴⁴
34174	Wenzhou	簫	ɕ.i.ɛ.⁴⁴	ɕ.i.ɛ.⁴⁴	ɕ i/j ɛ ⁴⁴
34175	Changsha	簫	s.i.a.u.³³	s.i.a.u.³³	s i/j au ³³
34176	Shuangfeng	簫	ɕ.i.ə.⁵⁵	ɕ.i.ə.⁵⁵	ɕ i/j ə ⁵⁵
34177	Nanchang	簫	ɕ.i.ɛ.u.⁴²	ɕ.i.ɛ.u.⁴²	ɕ i/j ɛu ⁴²
34178	Meixian	簫	s.i.a.u.⁴⁴	s.i.a.u.⁴⁴	s i/j au ⁴⁴
34179	Guangzhou	簫	ʃ.i.u.⁵³/⁵⁵	ʃ.i.u.⁵³/⁵⁵	ʃ i/j u ⁵³/⁵⁵
34180	Xiamen	簫	s.i.a.u.⁵⁵	s.i.a.u.⁵⁵	s i/j au ⁵⁵
34181	Chaozhou	簫	s.i.ə.u.³³	s.i.ə.u.³³	s i/j əu ³³
34182	Fuzhou	簫	s.i.e.u.⁴⁴	s.i.e.u.⁴⁴	s i/j eu ⁴⁴
34915	Beijing	簷	.i.a.n.³⁵	.i.a.n.³⁵	i/j a n ³⁵
34916	Jinan	簷	.i.aː ⁴²	.i.aː ⁴²	iaː ⁴²
34917	Xi_an	簷	.i.aː ²⁴	.i.aː ²⁴	iaː ²⁴
34918	Taiyuan	簷	.i.ɛ.¹¹	.i.ɛ.¹¹	i/j ɛ ¹¹
34919	Hankou	簷	.i.a.n.²¹³	.i.a.n.²¹³	i/j a n ²¹³
34920	Chengdu	簷	.i.a.n.³¹	.i.a.n.³¹	i/j a n ³¹
34921	Yangzhou	簷	.ɪː ³⁴	.ɪː ³⁴	ɪː ³⁴
34922	Suzhou	簷	.ɪ.²⁴	.ɪ.²⁴	ɪ ²⁴
34923	Wenzhou	簷	ɦ.i.³¹	ɦ.i.³¹	ɦ i ³¹
34924	Changsha	簷	.i.eː ¹³	.i.eː ¹³	ieː ¹³
34925	Shuangfeng	簷	.ɪː ²³	.ɪː ²³	ɪː ²³
34926	Nanchang	簷	.i.ɛ.n.⁴⁵	.i.ɛ.n.⁴⁵	i/j ɛ n ⁴⁵
34927	Meixian	簷	j.a.m.¹¹	j.a.m.¹¹	j a m ¹¹
34928	Guangzhou	簷	j.i.m.²¹	j.i.m.²¹	j i m ²¹
34929	Xiamen	簷	l.i.a.m.²⁴	l.i.a.m.²⁴	l i/j a m ²⁴
34930	Chaozhou	簷	.i.ə.m.⁵⁵	.i.ə.m.⁵⁵	i/j ə m ⁵⁵
34931	Fuzhou	簷	s.i.e.ŋ.⁵²	s.i.e.ŋ.⁵²	s i/j e ŋ ⁵²
34932	Shanghai	簷	.i.ɪ.¹³	.i.ɪ.¹³	i/j ɪ ¹³
34933	Zhongyuan_Yinyun	簷	.i.e.m.P²	.i.e.m.P²	i/j e m P²/⁵⁵
34183	Beijing	簸	p.o.²¹⁴	p.o.²¹⁴	p o ²¹⁴
34184	Jinan	簸	p.ə.⁵⁵	p.ə.⁵⁵	p ə ⁵⁵
34185	Xi_an	簸	p.o.⁵³	p.o.⁵³	p o ⁵³
34186	Taiyuan	簸	p.ə.⁵³	p.ə.⁵³	p ə ⁵³
34187	Hankou	簸	p.o.³⁵	p.o.³⁵	p o ³⁵
34188	Chengdu	簸	p.o.⁵³	p.o.⁵³	p o ⁵³
34189	Yangzhou	簸	p.o.⁴²	p.o.⁴²	p o ⁴²
34190	Suzhou	簸	p.u.⁴⁴	p.u.⁴⁴	p u ⁴⁴
34191	Changsha	簸	p.o.⁴¹	p.o.⁴¹	p o ⁴¹
34192	Shuangfeng	簸	p.ʊ.⁵⁵	p.ʊ.⁵⁵	p ʊ ⁵⁵
34193	Nanchang	簸	p.o.⁴²	p.o.⁴²	p o ⁴²
34194	Meixian	簸	p.ɔ.⁴⁴	p.ɔ.⁴⁴	p ɔ ⁴⁴
34195	Guangzhou	簸	p.ɔ.³⁵	p.ɔ.³⁵	p ɔ ³⁵
34196	Xiamen	簸	p.ɔ.¹¹	p.ɔ.¹¹	p ɔ ¹¹
34197	Xiamen	簸	p.u.a.¹¹	p.u.a.¹¹	p u/w a ¹¹
34198	Chaozhou	簸	p.u.a.²¹³	p.u.a.²¹³	p u/w a ²¹³
34199	Fuzhou	簸	p.ɔ.⁴⁴	p.ɔ.⁴⁴	p ɔ ⁴⁴
34200	Shanghai	簸	p.u.⁵³	p.u.⁵³	p u ⁵³
34201	Zhongyuan_Yinyun	簸	p.u.o.S	p.u.o.S	p u/w o S/³⁵
34202	Beijing	簸	p.o.⁵¹	p.o.⁵¹	p o ⁵¹
34203	Jinan	簸	p.ə.²¹	p.ə.²¹	p ə ²¹
34204	Xi_an	簸	p.o.⁵⁵	p.o.⁵⁵	p o ⁵⁵
34205	Taiyuan	簸	p.ə.⁴⁵	p.ə.⁴⁵	p ə ⁴⁵
34206	Hankou	簸	p.o.³⁵	p.o.³⁵	p o ³⁵
34207	Chengdu	簸	p.o.⁵³	p.o.⁵³	p o ⁵³
34208	Yangzhou	簸	p.o.⁴²	p.o.⁴²	p o ⁴²
34209	Suzhou	簸	p.u.⁴⁴	p.u.⁴⁴	p u ⁴⁴
34210	Changsha	簸	p.o.⁵⁵	p.o.⁵⁵	p o ⁵⁵
34211	Shuangfeng	簸	p.ʊ.⁵⁵	p.ʊ.⁵⁵	p ʊ ⁵⁵
34212	Nanchang	簸	p.o.⁴⁵	p.o.⁴⁵	p o ⁴⁵
34213	Meixian	簸	p.ɔ.⁵²	p.ɔ.⁵²	p ɔ ⁵²
34214	Guangzhou	簸	p.ɔ.³³	p.ɔ.³³	p ɔ ³³
34215	Xiamen	簸	p.ɔ.¹¹	p.ɔ.¹¹	p ɔ ¹¹
34216	Xiamen	簸	p.u.a.¹¹	p.u.a.¹¹	p u/w a ¹¹
34217	Chaozhou	簸	p.u.a.²¹³	p.u.a.²¹³	p u/w a ²¹³
34218	Fuzhou	簸	p.ɔ.²¹³	p.ɔ.²¹³	p ɔ ²¹³
34219	Fuzhou	簸	p.u.a.⁴⁴	p.u.a.⁴⁴	p u/w a ⁴⁴
34220	Shanghai	簸	p.u.⁵³	p.u.⁵³	p u ⁵³
34221	Zhongyuan_Yinyun	簸	p.u.o.Q	p.u.o.Q	p u/w o Q/⁵¹
34239	Beijing	簽	ʨʰ.i.a.n.⁵⁵	ʨʰ.i.a.n.⁵⁵	tɕʰ i/j a n ⁵⁵
34240	Jinan	簽	ʨʰ.i.aː ²¹³	ʨʰ.i.aː ²¹³	tɕʰ iaː ²¹³
34241	Xi_an	簽	ʨʰ.i.aː ²¹	ʨʰ.i.aː ²¹	tɕʰ iaː ²¹
34242	Taiyuan	簽	ʨʰ.i.ɛ.¹¹	ʨʰ.i.ɛ.¹¹	tɕʰ i/j ɛ ¹¹
34243	Hankou	簽	ʨʰ.i.a.n.⁵⁵	ʨʰ.i.a.n.⁵⁵	tɕʰ i/j a n ⁵⁵
34244	Chengdu	簽	ʨʰ.i.a.n.⁴⁴	ʨʰ.i.a.n.⁴⁴	tɕʰ i/j a n ⁴⁴
34245	Yangzhou	簽	ʨʰ.ɿː ²¹	ʨʰ.ɿː ²¹	tɕʰ ɿː ²¹
34246	Suzhou	簽	ʦʰ.ɪ.⁴⁴	ʦʰ.ɪ.⁴⁴	tsʰ ɪ ⁴⁴
34247	Wenzhou	簽	ʨʰ.i.⁴⁴	ʨʰ.i.⁴⁴	tɕʰ i ⁴⁴
34248	Changsha	簽	ʦʰ.i.eː ³³	ʦʰ.i.eː ³³	tsʰ ieː ³³
34249	Shuangfeng	簽	ʨʰ.ɪː ⁵⁵	ʨʰ.ɪː ⁵⁵	tɕʰ ɪː ⁵⁵
34250	Nanchang	簽	ʨʰ.i.ɛ.n.⁴²	ʨʰ.i.ɛ.n.⁴²	tɕʰ i/j ɛ n ⁴²
34251	Meixian	簽	ʦʰ.i.a.m.⁴⁴	ʦʰ.i.a.m.⁴⁴	tsʰ i/j a m ⁴⁴
34252	Guangzhou	簽	ʧʰ.i.m.⁵³/⁵⁵	ʧʰ.i.m.⁵³/⁵⁵	tʃʰ i m ⁵³/⁵⁵
34253	Xiamen	簽	ʦʰ.i.a.m.⁵⁵	ʦʰ.i.a.m.⁵⁵	tsʰ i/j a m ⁵⁵
34254	Chaozhou	簽	ʦʰ.i.ə.m.³³	ʦʰ.i.ə.m.³³	tsʰ i/j ə m ³³
34255	Fuzhou	簽	ʦʰ.i.e.ŋ.⁴⁴	ʦʰ.i.e.ŋ.⁴⁴	tsʰ i/j e ŋ ⁴⁴
34222	Beijing	簾	l.i.a.n.³⁵	l.i.a.n.³⁵	l i/j a n ³⁵
34223	Jinan	簾	l.i.aː ⁴²	l.i.aː ⁴²	l iaː ⁴²
34224	Xi_an	簾	l.i.aː ²⁴	l.i.aː ²⁴	l iaː ²⁴
34225	Taiyuan	簾	l.i.ɛ.¹¹	l.i.ɛ.¹¹	l i/j ɛ ¹¹
34226	Hankou	簾	n.i.a.n.²¹³	n.i.a.n.²¹³	n i/j a n ²¹³
34227	Chengdu	簾	n.i.a.n.³¹	n.i.a.n.³¹	n i/j a n ³¹
34228	Yangzhou	簾	l.ɪː ³⁴	l.ɪː ³⁴	l ɪː ³⁴
34229	Suzhou	簾	l.ɪ.²⁴	l.ɪ.²⁴	l ɪ ²⁴
34230	Wenzhou	簾	l.i.³¹	l.i.³¹	l i ³¹
34231	Changsha	簾	n.i.eː ¹³	n.i.eː ¹³	n ieː ¹³
34232	Shuangfeng	簾	n.ɪː ²³	n.ɪː ²³	n ɪː ²³
34233	Nanchang	簾	l.i.ɛ.n.⁴⁵	l.i.ɛ.n.⁴⁵	l i/j ɛ n ⁴⁵
34234	Meixian	簾	l.i.a.m.¹¹	l.i.a.m.¹¹	l i/j a m ¹¹
34235	Guangzhou	簾	l.i.m.²¹	l.i.m.²¹	l i m ²¹
34236	Xiamen	簾	l.i.a.m.²⁴	l.i.a.m.²⁴	l i/j a m ²⁴
34237	Chaozhou	簾	l.i.ə.m.⁵⁵	l.i.ə.m.⁵⁵	l i/j ə m ⁵⁵
34238	Fuzhou	簾	l.i.e.ŋ.⁵²	l.i.e.ŋ.⁵²	l i/j e ŋ ⁵²
34256	Beijing	簿	p.u.⁵¹	p.u.⁵¹	p u ⁵¹
34257	Jinan	簿	p.u.²¹	p.u.²¹	p u ²¹
34258	Xi_an	簿	p.u.⁵⁵	p.u.⁵⁵	p u ⁵⁵
34259	Taiyuan	簿	p.u.⁴⁵	p.u.⁴⁵	p u ⁴⁵
34260	Hankou	簿	p.u.³⁵	p.u.³⁵	p u ³⁵
34261	Chengdu	簿	p.u.¹³	p.u.¹³	p u ¹³
34262	Yangzhou	簿	p.u.⁵⁵	p.u.⁵⁵	p u ⁵⁵
34263	Suzhou	簿	b.u.³¹	b.u.³¹	b u ³¹
34264	Wenzhou	簿	b.u.³⁴	b.u.³⁴	b u ³⁴
34265	Changsha	簿	p.u.²¹	p.u.²¹	p u ²¹
34266	Shuangfeng	簿	b.u.³³	b.u.³³	b u ³³
34267	Nanchang	簿	pʰ.u.²¹	pʰ.u.²¹	pʰ u ²¹
34268	Meixian	簿	pʰ.u.⁴⁴	pʰ.u.⁴⁴	pʰ u ⁴⁴
34269	Guangzhou	簿	p.o.u.²²	p.o.u.²²	p ou ²²
34270	Xiamen	簿	pʰ.ɔ.³³	pʰ.ɔ.³³	pʰ ɔ ³³
34271	Chaozhou	簿	pʰ.o.u.³⁵	pʰ.o.u.³⁵	pʰ ou ³⁵
34272	Fuzhou	簿	p.u.ɔ.²⁴²	p.u.ɔ.²⁴²	p u/w ɔ ²⁴²
34273	Shanghai	簿	p.u.¹³	p.u.¹³	p u ¹³
34274	Zhongyuan_Yinyun	簿	p.u.Q	p.u.Q	p u Q/⁵¹
34275	Beijing	籃	l.a.n.³⁵	l.a.n.³⁵	l a n ³⁵
34276	Jinan	籃	l.aː ⁴²	l.aː ⁴²	l aː ⁴²
34277	Xi_an	籃	l.aː ²⁴	l.aː ²⁴	l aː ²⁴
34278	Taiyuan	籃	l.æː ¹¹	l.æː ¹¹	l æː ¹¹
34279	Hankou	籃	n.a.n.²¹³	n.a.n.²¹³	n a n ²¹³
34280	Chengdu	籃	n.a.n.³¹	n.a.n.³¹	n a n ³¹
34281	Yangzhou	籃	l.ɛː ³⁴	l.ɛː ³⁴	l ɛː ³⁴
34282	Suzhou	籃	l.E.²⁴	l.E.²⁴	l ᴇ/ɛ ²⁴
34283	Wenzhou	籃	l.a.³¹	l.a.³¹	l a ³¹
34284	Changsha	籃	n.a.n.¹³	n.a.n.¹³	n a n ¹³
34285	Shuangfeng	籃	n.aː ²³	n.aː ²³	n aː ²³
34286	Nanchang	籃	l.a.n.⁴⁵	l.a.n.⁴⁵	l a n ⁴⁵
34287	Meixian	籃	l.a.m.¹¹	l.a.m.¹¹	l a m ¹¹
34288	Guangzhou	籃	l.a:.m.²¹	l.a:.m.²¹	l aː m ²¹
34289	Xiamen	籃	l.a.m.²⁴	l.a.m.²⁴	l a m ²⁴
34290	Chaozhou	籃	n.a.⁵⁵	n.a.⁵⁵	n a ⁵⁵
34291	Fuzhou	籃	l.a.ŋ.⁵²	l.a.ŋ.⁵²	l a ŋ ⁵²
34292	Shanghai	籃	l.E.¹³	l.E.¹³	l ᴇ/ɛ ¹³
34293	Zhongyuan_Yinyun	籃	l.a.m.P²	l.a.m.P²	l a m P²/⁵⁵
34294	Beijing	籌	tʂʰ.o.u.³⁵	tʂʰ.o.u.³⁵	ʈʂʰ ou ³⁵
34295	Jinan	籌	tʂʰ.o.u.⁴²	tʂʰ.o.u.⁴²	ʈʂʰ ou ⁴²
34296	Xi_an	籌	tʂʰ.o.u.²⁴	tʂʰ.o.u.²⁴	ʈʂʰ ou ²⁴
