CHARACTER	PINYIN	DOCULECT	VALUE	SEGMENTS	WENBAI_YIDU
洛	luò	Guangzhou	l.ɔ.k.³	l ɔ k ³	1
洛	luò	Xiamen	l.ɔ.k.⁵	l ɔ k ⁵	1
洛	luò	Chaozhou	l.o.k.⁴	l o k ⁴	1
洛	luò	Fuzhou	l.o.u.ʔ.⁴	l o u ʔ ⁴	1
洛	luò	Shanghai	l.o.ʔ.¹³	l o ʔ ¹³	1
洛	luò	Zhongyuan_Yinyun	l.o.R³	l o R³	1
洞	dòng	Beijing	t.u.ŋ.⁵¹	t u ŋ ⁵¹	1
洞	dòng	Jinan	t.u.ŋ.²¹	t u ŋ ²¹	1
洞	dòng	Xi_an	t.o.ŋ.⁵⁵	t o ŋ ⁵⁵	1
洞	dòng	Taiyuan	t.u.ŋ.⁴⁵	t u ŋ ⁴⁵	1
洞	dòng	Hankou	t.o.ŋ.³⁵	t o ŋ ³⁵	1
洞	dòng	Chengdu	t.o.ŋ.¹³	t o ŋ ¹³	1
洞	dòng	Yangzhou	t.ɔ.u.ŋ.⁵⁵	t ɔ u ŋ ⁵⁵	1
洞	dòng	Suzhou	d.o.ŋ.³¹	d o ŋ ³¹	1
洞	dòng	Wenzhou	d.o.ŋ.²²	d o ŋ ²²	1
洞	dòng	Changsha	t.o.ŋ.⁵⁵	t o ŋ ⁵⁵	1
洞	dòng	Changsha	t.o.ŋ.²¹	t o ŋ ²¹	1
洞	dòng	Shuangfeng	d.a.ŋ.³³	d a ŋ ³³	1
洞	dòng	Shuangfeng	d.a.n.³³	d a n ³³	1
洞	dòng	Nanchang	tʰ.u.ŋ.²¹	tʰ u ŋ ²¹	1
洞	dòng	Meixian	tʰ.u.ŋ.³¹	tʰ u ŋ ³¹	1
洞	dòng	Guangzhou	t.u.ŋ.²²	t u ŋ ²²	1
洞	dòng	Xiamen	t.ɔ.ŋ.³³	t ɔ ŋ ³³	1
洞	dòng	Chaozhou	t.a.ŋ.¹¹	t a ŋ ¹¹	1
洞	dòng	Fuzhou	t.ɵ.y.ŋ.²⁴²	t ɵ y ŋ ²⁴²	1
洞	dòng	Shanghai	t.o.ŋ.¹³	t o ŋ ¹³	1
洞	dòng	Zhongyuan_Yinyun	t.u.ŋ.Q	t u ŋ Q	1
津	jīn	Beijing	ʨ.i.n.⁵⁵	ʨ i n ⁵⁵	1
津	jīn	Jinan	ʨ.i.eː ²¹³	ʨ i eː ²¹³	1
津	jīn	Xi_an	ʨ.i.eː ²¹	ʨ i eː ²¹	1
津	jīn	Taiyuan	ʨ.i.ŋ.¹¹	ʨ i ŋ ¹¹	1
津	jīn	Hankou	ʨ.i.n.⁵⁵	ʨ i n ⁵⁵	1
津	jīn	Chengdu	ʨ.i.n.⁴⁴	ʨ i n ⁴⁴	1
津	jīn	Yangzhou	ʨ.iː ²¹	ʨ iː ²¹	1
津	jīn	Suzhou	ʦ.i.n.⁴⁴	ʦ i n ⁴⁴	1
津	jīn	Wenzhou	ʦ.a.ŋ.⁴⁴	ʦ a ŋ ⁴⁴	1
津	jīn	Changsha	ʦ.i.n.³³	ʦ i n ³³	1
津	jīn	Shuangfeng	ʨ.i.n.⁵⁵	ʨ i n ⁵⁵	1
津	jīn	Nanchang	ʨ.i.n.⁴²	ʨ i n ⁴²	1
津	jīn	Meixian	ʦ.i.n.⁴⁴	ʦ i n ⁴⁴	1
津	jīn	Guangzhou	ʧ.œ.n.⁵³/⁵⁵	ʧ œ n ⁵³/⁵⁵	1
津	jīn	Xiamen	ʦ.i.n.⁵⁵	ʦ i n ⁵⁵	1
津	jīn	Xiamen	t.i.n.⁵⁵	t i n ⁵⁵	1
津	jīn	Chaozhou	ʦ.i.ŋ.³³	ʦ i ŋ ³³	1
津	jīn	Fuzhou	ʦ.i.ŋ.⁴⁴	ʦ i ŋ ⁴⁴	1
津	jīn	Shanghai	ʦ.i.ŋ.⁵³	ʦ i ŋ ⁵³	1
津	jīn	Zhongyuan_Yinyun	ʦ.i.ə.n.P	ʦ i ə n P	1
洪	hóng	Beijing	x.u.ŋ.³⁵	x u ŋ ³⁵	1
洪	hóng	Jinan	x.u.ŋ.⁴²	x u ŋ ⁴²	1
洪	hóng	Xi_an	x.o.ŋ.²⁴	x o ŋ ²⁴	1
洪	hóng	Taiyuan	x.u.ŋ.¹¹	x u ŋ ¹¹	1
洪	hóng	Hankou	x.u.ŋ.²¹³	x u ŋ ²¹³	1
洪	hóng	Chengdu	x.o.ŋ.³¹	x o ŋ ³¹	1
洪	hóng	Yangzhou	x.ɔ.u.ŋ.³⁴	x ɔ u ŋ ³⁴	1
洪	hóng	Suzhou	ɦ.o.ŋ.²⁴	ɦ o ŋ ²⁴	1
洪	hóng	Wenzhou	ɦ.o.ŋ.³¹	ɦ o ŋ ³¹	1
洪	hóng	Changsha	x.o.ŋ.¹³	x o ŋ ¹³	1
洪	hóng	Shuangfeng	ɣ.a.ŋ.²³	ɣ a ŋ ²³	1
洪	hóng	Shuangfeng	ɣ.ə.n.²³	ɣ ə n ²³	1
洪	hóng	Nanchang	ɸ.u.ŋ.⁴⁵	ɸ u ŋ ⁴⁵	1
洪	hóng	Meixian	f.u.ŋ.¹¹	f u ŋ ¹¹	1
洪	hóng	Guangzhou	h.u.ŋ.²¹	h u ŋ ²¹	1
洪	hóng	Xiamen	h.ɔ.ŋ.²⁴	h ɔ ŋ ²⁴	1
洪	hóng	Chaozhou	.a.ŋ.⁵⁵	a ŋ ⁵⁵	1
洪	hóng	Fuzhou	x.u.ŋ.⁵²	x u ŋ ⁵²	1
洪	hóng	Shanghai	ɦ.o.ŋ.¹³	ɦ o ŋ ¹³	1
洪	hóng	Zhongyuan_Yinyun	x.u.ŋ.P²	x u ŋ P²	1
洲	zhōu	Beijing	tʂ.o.u.⁵⁵	tʂ o u ⁵⁵	1
洲	zhōu	Jinan	tʂ.o.u.²¹³	tʂ o u ²¹³	1
洲	zhōu	Xi_an	tʂ.o.u.²¹	tʂ o u ²¹	1
洲	zhōu	Taiyuan	ʦ.o.u.¹¹	ʦ o u ¹¹	1
洲	zhōu	Hankou	ʦ.o.u.⁵⁵	ʦ o u ⁵⁵	1
洲	zhōu	Chengdu	ʦ.ə.u.⁴⁴	ʦ ə u ⁴⁴	1
洲	zhōu	Yangzhou	ʦ.ɤ.ɯ.²¹	ʦ ɤ ɯ ²¹	1
洲	zhōu	Suzhou	ʦ.y.⁴⁴	ʦ y ⁴⁴	1
洲	zhōu	Wenzhou	ʨ.i.u.⁴⁴	ʨ i u ⁴⁴	1
洲	zhōu	Changsha	tʂ.ɤ.u.³³	tʂ ɤ u ³³	1
洲	zhōu	Shuangfeng	ʨ.i.ʊ.⁵⁵	ʨ i ʊ ⁵⁵	1
洲	zhōu	Nanchang	ʦ.ə.u.⁴²	ʦ ə u ⁴²	1
洲	zhōu	Meixian	ʦ.u.⁴⁴	ʦ u ⁴⁴	1
洲	zhōu	Guangzhou	ʧ.a.u.⁵³/⁵⁵	ʧ a u ⁵³/⁵⁵	1
洲	zhōu	Xiamen	ʦ.i.u.⁵⁵	ʦ i u ⁵⁵	1
洲	zhōu	Chaozhou	ʦ.i.u.³³	ʦ i u ³³	1
洲	zhōu	Fuzhou	ʦ.i.e.u.⁴⁴	ʦ i e u ⁴⁴	1
活	huó	Beijing	x.u.o.³⁵	x u o ³⁵	1
活	huó	Jinan	x.u.ə.⁴²	x u ə ⁴²	1
活	huó	Xi_an	x.u.o.²⁴	x u o ²⁴	1
活	huó	Taiyuan	x.u.ə.ʔ.²	x u ə ʔ ²	1
活	huó	Taiyuan	x.u.a.ʔ.²	x u a ʔ ²	1
活	huó	Hankou	x.o.²¹³	x o ²¹³	1
活	huó	Chengdu	x.o.³¹	x o ³¹	1
活	huó	Yangzhou	.u.ə.ʔ.⁴	u ə ʔ ⁴	1
活	huó	Suzhou	ɦ.u.ɤ.ʔ.²³	ɦ u ɤ ʔ ²³	1
活	huó	Wenzhou	ɦ.o.²¹²	ɦ o ²¹²	1
活	huó	Changsha	x.o.²⁴	x o ²⁴	1
活	huó	Shuangfeng	x.u.e.³⁵	x u e ³⁵	1
活	huó	Nanchang	h.u.ɔ.t.⁵	h u ɔ t ⁵	1
活	huó	Nanchang	.u.ɔ.t.⁵	u ɔ t ⁵	1
活	huó	Meixian	f.a.t.⁵	f a t ⁵	1
活	huó	Guangzhou	.u.u.t.²²/²	u u t ²²/²	1
活	huó	Xiamen	h.u.a.t.³²	h u a t ³²	1
活	huó	Xiamen	h.u.a.ʔ.⁵	h u a ʔ ⁵	1
活	huó	Chaozhou	.a.p.⁴	a p ⁴	1
活	huó	Fuzhou	.u.a.ʔ.⁴	u a ʔ ⁴	1
活	huó	Shanghai	.u.a.ʔ.¹³	u a ʔ ¹³	1
活	huó	Zhongyuan_Yinyun	x.u.o.R²	x u o R²	1
派	pài	Beijing	pʰ.a.i.⁵¹	pʰ a i ⁵¹	1
派	pài	Jinan	pʰ.ɛ.²¹	pʰ ɛ ²¹	1
派	pài	Xi_an	pʰ.ɛ.⁵⁵	pʰ ɛ ⁵⁵	1
派	pài	Taiyuan	pʰ.a.i.⁴⁵	pʰ a i ⁴⁵	1
派	pài	Hankou	pʰ.a.i.³⁵	pʰ a i ³⁵	1
派	pài	Chengdu	pʰ.a.i.¹³	pʰ a i ¹³	1
派	pài	Yangzhou	pʰ.ɛ.⁵⁵	pʰ ɛ ⁵⁵	1
派	pài	Suzhou	pʰ.ɒ.⁴¹²	pʰ ɒ ⁴¹²	1
派	pài	Wenzhou	pʰ.a.⁴²	pʰ a ⁴²	1
派	pài	Changsha	pʰ.a.i.⁵⁵	pʰ a i ⁵⁵	1
派	pài	Shuangfeng	pʰ.a.²³	pʰ a ²³	1
派	pài	Nanchang	pʰ.a.i.²¹³	pʰ a i ²¹³	1
派	pài	Meixian	pʰ.a.i.³¹	pʰ a i ³¹	1
派	pài	Guangzhou	pʰ.a:.i.³³	pʰ a: i ³³	1
派	pài	Xiamen	pʰ.a.i.¹¹	pʰ a i ¹¹	1
派	pài	Chaozhou	pʰ.a.i.²¹³	pʰ a i ²¹³	1
派	pài	Fuzhou	pʰ.u.a.i.²¹³	pʰ u a i ²¹³	1
派	pài	Shanghai	pʰ.a.³⁵/⁵⁵	pʰ a ³⁵/⁵⁵	1
派	pài	Zhongyuan_Yinyun	pʰ.a.i.Q	pʰ a i Q	1
流	liú	Beijing	l.i.o.u.³⁵	l i o u ³⁵	1
流	liú	Jinan	l.i.o.u.⁴²	l i o u ⁴²	1
流	liú	Xi_an	l.i.o.u.²⁴	l i o u ²⁴	1
流	liú	Taiyuan	l.i.o.u.¹¹	l i o u ¹¹	1
流	liú	Hankou	n.i.o.u.²¹³	n i o u ²¹³	1
流	liú	Chengdu	n.i.ə.u.³¹	n i ə u ³¹	1
流	liú	Yangzhou	l.i.ɤ.ɯ.³⁴	l i ɤ ɯ ³⁴	1
流	liú	Suzhou	l.ø.y.²⁴	l ø y ²⁴	1
流	liú	Wenzhou	l.i.u.³¹	l i u ³¹	1
流	liú	Changsha	n.i.ɤ.u.¹³	n i ɤ u ¹³	1
流	liú	Shuangfeng	n.i.ʊ.²³	n i ʊ ²³	1
流	liú	Nanchang	l.i.u.⁴⁵	l i u ⁴⁵	1
流	liú	Meixian	l.i.u.¹¹	l i u ¹¹	1
流	liú	Guangzhou	l.a.u.²¹	l a u ²¹	1
流	liú	Xiamen	l.i.u.²⁴	l i u ²⁴	1
流	liú	Chaozhou	l.i.u.⁵⁵	l i u ⁵⁵	1
流	liú	Fuzhou	l.i.e.u.⁵²	l i e u ⁵²	1
流	liú	Shanghai	l.i.ɯ.¹³	l i ɯ ¹³	1
流	liú	Zhongyuan_Yinyun	l.i.o.u.P²	l i o u P²	1
浙	zhè	Beijing	tʂ.ɤ.⁵¹	tʂ ɤ ⁵¹	1
浙	zhè	Jinan	tʂ.ə.²¹³	tʂ ə ²¹³	1
浙	zhè	Xi_an	tʂ.ɤ.²¹	tʂ ɤ ²¹	1
浙	zhè	Taiyuan	ʦ.a.ʔ.²	ʦ a ʔ ²	1
浙	zhè	Hankou	ʦ.ɤ.²¹³	ʦ ɤ ²¹³	1
浙	zhè	Chengdu	ʦ.e.³¹	ʦ e ³¹	1
浙	zhè	Yangzhou	ʨ.i.ə.ʔ.⁴	ʨ i ə ʔ ⁴	1
浙	zhè	Suzhou	ʦ.ɤ.ʔ.⁴	ʦ ɤ ʔ ⁴	1
浙	zhè	Wenzhou	ʦ.e.i.³²³	ʦ e i ³²³	1
浙	zhè	Changsha	tʂ.ɤ.²⁴	tʂ ɤ ²⁴	1
浙	zhè	Shuangfeng	k.i.ɛ.²³	k i ɛ ²³	1
浙	zhè	Nanchang	ʦ.ɛ.t.⁵	ʦ ɛ t ⁵	1
浙	zhè	Meixian	ʦ.a.t.¹	ʦ a t ¹	1
浙	zhè	Guangzhou	ʧ.i.t.³	ʧ i t ³	1
浙	zhè	Xiamen	ʦ.i.a.t.³²	ʦ i a t ³²	1
浙	zhè	Chaozhou	ʦ.i.k.²¹	ʦ i k ²¹	1
浙	zhè	Fuzhou	ʦ.i.e.ʔ.²³	ʦ i e ʔ ²³	1
浙	zhè	Shanghai	ʦ.ɤ.ʔ.⁵	ʦ ɤ ʔ ⁵	1
浙	zhè	Zhongyuan_Yinyun	ʧ.i.e.R¹	ʧ i e R¹	1
浪	làng	Beijing	l.a.ŋ.⁵¹	l a ŋ ⁵¹	1
浪	làng	Jinan	l.a.ŋ.²¹	l a ŋ ²¹	1
浪	làng	Xi_an	l.a.ŋ.⁵⁵	l a ŋ ⁵⁵	1
浪	làng	Taiyuan	l.ɒː ⁴⁵	l ɒː ⁴⁵	1
浪	làng	Hankou	n.a.ŋ.³⁵	n a ŋ ³⁵	1
浪	làng	Chengdu	n.a.ŋ.¹³	n a ŋ ¹³	1
浪	làng	Yangzhou	l.ɑ.ŋ.⁵⁵	l ɑ ŋ ⁵⁵	1
浪	làng	Suzhou	l.ɒ.ŋ.³¹	l ɒ ŋ ³¹	1
浪	làng	Wenzhou	l.ɔ.²²	l ɔ ²²	1
浪	làng	Changsha	n.a.n.⁵⁵	n a n ⁵⁵	1
浪	làng	Shuangfeng	n.a.ŋ.³³	n a ŋ ³³	1
浪	làng	Nanchang	l.ɔ.ŋ.²¹	l ɔ ŋ ²¹	1
浪	làng	Meixian	l.ɔ.ŋ.⁵²	l ɔ ŋ ⁵²	1
浪	làng	Guangzhou	l.ɔ.ŋ.²²	l ɔ ŋ ²²	1
浪	làng	Xiamen	l.ɔ.ŋ.³³	l ɔ ŋ ³³	1
浪	làng	Chaozhou	l.a.ŋ.³⁵	l a ŋ ³⁵	1
浪	làng	Fuzhou	l.a.u.ŋ.²⁴²	l a u ŋ ²⁴²	1
浪	làng	Shanghai	l.ɒː ¹³	l ɒː ¹³	1
浪	làng	Zhongyuan_Yinyun	l.a.ŋ.P²	l a ŋ P²	1
浮	fú	Beijing	f.o.u.³⁵	f o u ³⁵	1
浮	fú	Beijing	f.u.³⁵	f u ³⁵	1
浮	fú	Jinan	f.u.⁴²	f u ⁴²	1
浮	fú	Xi_an	f.u.²⁴	f u ²⁴	1
浮	fú	Taiyuan	f.u.¹¹	f u ¹¹	1
浮	fú	Hankou	f.o.u.²¹³	f o u ²¹³	1
浮	fú	Chengdu	f.ə.u.³¹	f ə u ³¹	1
浮	fú	Yangzhou	f.u.³⁴	f u ³⁴	1
浮	fú	Suzhou	v.ø.y.²⁴	v ø y ²⁴	1
浮	fú	Wenzhou	v.ɛ.³¹	v ɛ ³¹	1
浮	fú	Changsha	x.ɤ.u.¹³	x ɤ u ¹³	1
浮	fú	Shuangfeng	ɣ.u.e.²³	ɣ u e ²³	1
浮	fú	Nanchang	ɸ.u.ɛ.u.⁴⁵	ɸ u ɛ u ⁴⁵	1
浮	fú	Meixian	f.ɛ.u.¹¹	f ɛ u ¹¹	1
浮	fú	Guangzhou	f.a.u.²¹	f a u ²¹	1
浮	fú	Xiamen	h.u.²⁴	h u ²⁴	1
浮	fú	Xiamen	h.ɔ.²⁴	h ɔ ²⁴	1
浮	fú	Xiamen	pʰ.u.²⁴	pʰ u ²⁴	1
浮	fú	Chaozhou	pʰ.u.⁵⁵	pʰ u ⁵⁵	1
浮	fú	Fuzhou	pʰ.e.u.⁵²	pʰ e u ⁵²	1
浮	fú	Fuzhou	pʰ.u.⁵²	pʰ u ⁵²	1
浮	fú	Shanghai	p.ɤ.¹³	p ɤ ¹³	1
浮	fú	Zhongyuan_Yinyun	f.u.P²	f u P²	1
海	hǎi	Beijing	x.a.i.²¹⁴	x a i ²¹⁴	1
海	hǎi	Jinan	x.ɛ.⁵⁵	x ɛ ⁵⁵	1
海	hǎi	Xi_an	x.ɛ.⁵³	x ɛ ⁵³	1
海	hǎi	Taiyuan	x.a.i.⁵³	x a i ⁵³	1
海	hǎi	Hankou	x.a.i.⁴²	x a i ⁴²	1
海	hǎi	Chengdu	x.a.i.⁵³	x a i ⁵³	1
海	hǎi	Yangzhou	x.ɛ.⁴²	x ɛ ⁴²	1
海	hǎi	Suzhou	h.E.⁵²	h E ⁵²	1
海	hǎi	Wenzhou	x.E.⁴⁵	x E ⁴⁵	1
海	hǎi	Changsha	x.a.i.⁴¹	x a i ⁴¹	1
海	hǎi	Shuangfeng	x.u.e.²¹	x u e ²¹	1
海	hǎi	Nanchang	h.a.i.²¹³	h a i ²¹³	1
海	hǎi	Meixian	h.ɔ.i.³¹	h ɔ i ³¹	1
海	hǎi	Guangzhou	h.ɔ.i.³⁵	h ɔ i ³⁵	1
海	hǎi	Xiamen	h.a.i.⁵¹	h a i ⁵¹	1
海	hǎi	Chaozhou	h.a.i.⁵³	h a i ⁵³	1
海	hǎi	Fuzhou	x.a.i.³¹	x a i ³¹	1
海	hǎi	Shanghai	h.E.³⁵/⁵⁵	h E ³⁵/⁵⁵	1
海	hǎi	Zhongyuan_Yinyun	x.a.i.S	x a i S	1
消	xiāo	Beijing	ɕ.i.a.u.⁵⁵	ɕ i a u ⁵⁵	1
消	xiāo	Jinan	ɕ.i.ɔ.²¹³	ɕ i ɔ ²¹³	1
消	xiāo	Xi_an	ɕ.i.a.u.²¹	ɕ i a u ²¹	1
消	xiāo	Taiyuan	ɕ.i.a.u.¹¹	ɕ i a u ¹¹	1
消	xiāo	Hankou	ɕ.i.a.u.⁵⁵	ɕ i a u ⁵⁵	1
消	xiāo	Chengdu	ɕ.i.a.u.⁴⁴	ɕ i a u ⁴⁴	1
消	xiāo	Yangzhou	ɕ.i.ɔ.²¹	ɕ i ɔ ²¹	1
消	xiāo	Suzhou	s.i.æ.⁴⁴	s i æ ⁴⁴	1
消	xiāo	Wenzhou	ɕ.i.ɛ.⁴⁴	ɕ i ɛ ⁴⁴	1
消	xiāo	Changsha	s.i.a.u.³³	s i a u ³³	1
消	xiāo	Shuangfeng	ɕ.i.ə.⁵⁵	ɕ i ə ⁵⁵	1
消	xiāo	Nanchang	ɕ.i.ɛ.u.⁴²	ɕ i ɛ u ⁴²	1
消	xiāo	Meixian	s.i.a.u.⁴⁴	s i a u ⁴⁴	1
消	xiāo	Guangzhou	ʃ.i.u.⁵³/⁵⁵	ʃ i u ⁵³/⁵⁵	1
消	xiāo	Xiamen	s.i.a.u.⁵⁵	s i a u ⁵⁵	1
消	xiāo	Chaozhou	s.i.ə.u.³³	s i ə u ³³	1
消	xiāo	Fuzhou	s.i.e.u.⁴⁴	s i e u ⁴⁴	1
消	xiāo	Shanghai	s.i.ɔ.⁵³	s i ɔ ⁵³	1
消	xiāo	Zhongyuan_Yinyun	s.i.a.u.P	s i a u P	1
涉	shè	Beijing	ʂ.ɤ.⁵¹	ʂ ɤ ⁵¹	1
涉	shè	Jinan	ʂ.ə.²¹	ʂ ə ²¹	1
涉	shè	Xi_an	ʂ.ɤ.²¹	ʂ ɤ ²¹	1
涉	shè	Taiyuan	s.ə.ʔ.²	s ə ʔ ²	1
涉	shè	Hankou	s.ɤ.²¹³	s ɤ ²¹³	1
涉	shè	Chengdu	s.e.³¹	s e ³¹	1
涉	shè	Yangzhou	ɕ.i.ə.ʔ.⁴	ɕ i ə ʔ ⁴	1
涉	shè	Suzhou	z.ɤ.ʔ.⁴	z ɤ ʔ ⁴	1
涉	shè	Wenzhou	ɦ.i.²¹²	ɦ i ²¹²	1
涉	shè	Changsha	ʂ.ɤ.²⁴	ʂ ɤ ²⁴	1
涉	shè	Shuangfeng	ɕ.i.ɛ.²³	ɕ i ɛ ²³	1
涉	shè	Nanchang	s.ɛ.t.⁵	s ɛ t ⁵	1
涉	shè	Meixian	h.i.a.p.⁵	h i a p ⁵	1
涉	shè	Guangzhou	ʃ.i.p.³	ʃ i p ³	1
涉	shè	Xiamen	s.i.a.p.⁵	s i a p ⁵	1
涉	shè	Chaozhou	s.i.ə.p.⁴	s i ə p ⁴	1
涉	shè	Fuzhou	s.i.e.ʔ.⁴	s i e ʔ ⁴	1
涉	shè	Shanghai	z.ɤ.ʔ.¹³	z ɤ ʔ ¹³	1
涕	tì	Beijing	tʰ.i.⁵¹	tʰ i ⁵¹	1
涕	tì	Jinan	tʰ.i.²¹	tʰ i ²¹	1
涕	tì	Xi_an	tʰ.i.⁵⁵	tʰ i ⁵⁵	1
涕	tì	Taiyuan	tʰ.i.⁴⁵	tʰ i ⁴⁵	1
涕	tì	Hankou	tʰ.i.³⁵	tʰ i ³⁵	1
涕	tì	Chengdu	tʰ.i.¹³	tʰ i ¹³	1
涕	tì	Yangzhou	tʰ.i.⁵⁵	tʰ i ⁵⁵	1
涕	tì	Suzhou	tʰ.i.⁴¹²	tʰ i ⁴¹²	1
涕	tì	Wenzhou	tʰ.e.i.⁴²	tʰ e i ⁴²	1
涕	tì	Changsha	tʰ.i.⁵⁵	tʰ i ⁵⁵	1
涕	tì	Shuangfeng	tʰ.i.³⁵	tʰ i ³⁵	1
涕	tì	Nanchang	tʰ.i.t.⁵	tʰ i t ⁵	1
涕	tì	Meixian	tʰ.i.⁵²	tʰ i ⁵²	1
涕	tì	Guangzhou	tʰ.a.i.³³	tʰ a i ³³	1
涕	tì	Xiamen	tʰ.e.¹¹	tʰ e ¹¹	1
涕	tì	Chaozhou	tʰ.i.²¹³	tʰ i ²¹³	1
涕	tì	Fuzhou	tʰ.a.²¹³	tʰ a ²¹³	1
涕	tì	Shanghai	tʰ.i.³⁵/⁵⁵	tʰ i ³⁵/⁵⁵	1
涕	tì	Zhongyuan_Yinyun	tʰ.i.Q	tʰ i Q	1
淆	xiáo	Beijing	ɕ.i.a.u.³⁵	ɕ i a u ³⁵	1
淆	xiáo	Beijing	.i.a.u.³⁵	i a u ³⁵	1
淆	xiáo	Jinan	.i.ɔ.⁴²	i ɔ ⁴²	1
淆	xiáo	Xi_an	ɲ.i.a.u.²⁴	ɲ i a u ²⁴	1
淆	xiáo	Taiyuan	ɕ.i.a.u.¹¹	ɕ i a u ¹¹	1
淆	xiáo	Hankou	ɕ.i.a.u.²¹³	ɕ i a u ²¹³	1
淆	xiáo	Chengdu	ɕ.i.a.u.³¹	ɕ i a u ³¹	1
淆	xiáo	Yangzhou	ɕ.i.ɔ.³⁴	ɕ i ɔ ³⁴	1
淆	xiáo	Suzhou	.i.æ.²⁴	i æ ²⁴	1
淆	xiáo	Wenzhou	ɦ.u.ɔ.³¹	ɦ u ɔ ³¹	1
淆	xiáo	Changsha	ɕ.i.a.u.¹³	ɕ i a u ¹³	1
淆	xiáo	Shuangfeng	ɣ.i.ə.²³	ɣ i ə ²³	1
淆	xiáo	Meixian	h.a.u.¹¹	h a u ¹¹	1
淆	xiáo	Guangzhou	ŋ.a:.u.²¹	ŋ a: u ²¹	1
淆	xiáo	Xiamen	ŋ.a.uː ²⁴	ŋ a uː ²⁴	1
淆	xiáo	Chaozhou	ŋ.a.u.⁵⁵	ŋ a u ⁵⁵	1
淆	xiáo	Fuzhou	ŋ.a.u.⁵²	ŋ a u ⁵²	1
淋	lín	Beijing	l.i.n.³⁵	l i n ³⁵	1
淋	lín	Jinan	l.i.eː ⁴²	l i eː ⁴²	1
淋	lín	Xi_an	l.i.eː ²⁴	l i eː ²⁴	1
淋	lín	Taiyuan	l.i.ŋ.¹¹	l i ŋ ¹¹	1
淋	lín	Hankou	n.i.n.²¹³	n i n ²¹³	1
淋	lín	Chengdu	n.i.n.³¹	n i n ³¹	1
淋	lín	Yangzhou	l.iː ³⁴	l iː ³⁴	1
淋	lín	Suzhou	l.i.n.²⁴	l i n ²⁴	1
淋	lín	Wenzhou	l.e.ŋ.³¹	l e ŋ ³¹	1
淋	lín	Changsha	n.i.n.¹³	n i n ¹³	1
淋	lín	Shuangfeng	n.i.n.²³	n i n ²³	1
淋	lín	Nanchang	l.i.n.⁴⁵	l i n ⁴⁵	1
淋	lín	Meixian	l.i.m.¹¹	l i m ¹¹	1
淋	lín	Guangzhou	l.a.m.²¹	l a m ²¹	1
淋	lín	Xiamen	l.i.m.²⁴	l i m ²⁴	1
淋	lín	Chaozhou	l.i.m.⁵⁵	l i m ⁵⁵	1
淋	lín	Fuzhou	l.i.ŋ.⁵²	l i ŋ ⁵²	1
淚	lèi	Beijing	l.e.i.⁵¹	l e i ⁵¹	1
淚	lèi	Jinan	l.u.e.i.²¹	l u e i ²¹	1
淚	lèi	Xi_an	l.u.e.i.⁵⁵	l u e i ⁵⁵	1
淚	lèi	Taiyuan	l.u.e.i.⁴⁵	l u e i ⁴⁵	1
淚	lèi	Hankou	n.e.i.³⁵	n e i ³⁵	1
淚	lèi	Chengdu	n.u.e.i.¹³	n u e i ¹³	1
淚	lèi	Yangzhou	l.u.ə.i.⁵⁵	l u ə i ⁵⁵	1
淚	lèi	Suzhou	l.E.³¹	l E ³¹	1
淚	lèi	Wenzhou	l.ɵ.y.²²	l ɵ y ²²	1
淚	lèi	Changsha	n.e.i.⁵⁵	n e i ⁵⁵	1
淚	lèi	Changsha	n.e.i.²¹	n e i ²¹	1
淚	lèi	Shuangfeng	n.y.³³	n y ³³	1
淚	lèi	Shuangfeng	n.i.³³	n i ³³	1
淚	lèi	Nanchang	l.u.i.²¹	l u i ²¹	1
淚	lèi	Meixian	l.u.i.⁵²	l u i ⁵²	1
淚	lèi	Guangzhou	l.œ.y.²²	l œ y ²²	1
淚	lèi	Xiamen	l.u.i.³³	l u i ³³	1
淚	lèi	Chaozhou	l.u.i.³⁵	l u i ³⁵	1
淚	lèi	Fuzhou	l.u.e.i.²⁴²	l u e i ²⁴²	1
淚	lèi	Shanghai	l.e.i.¹³	l e i ¹³	1
淚	lèi	Zhongyuan_Yinyun	l.u.e.i.Q	l u e i Q	1
淡	dàn	Beijing	t.a.n.⁵¹	t a n ⁵¹	1
淡	dàn	Jinan	t.aː ²¹	t aː ²¹	1
淡	dàn	Xi_an	t.aː ⁵⁵	t aː ⁵⁵	1
淡	dàn	Taiyuan	t.æː ⁴⁵	t æː ⁴⁵	1
淡	dàn	Hankou	t.a.n.³⁵	t a n ³⁵	1
淡	dàn	Chengdu	t.a.n.¹³	t a n ¹³	1
淡	dàn	Yangzhou	t.ɛː ⁵⁵	t ɛː ⁵⁵	1
淡	dàn	Suzhou	d.E.³¹	d E ³¹	1
淡	dàn	Wenzhou	d.a.³⁴	d a ³⁴	1
淡	dàn	Changsha	t.a.n.⁵⁵	t a n ⁵⁵	1
淡	dàn	Changsha	t.a.n.²¹	t a n ²¹	1
淡	dàn	Shuangfeng	d.aː ³³	d aː ³³	1
淡	dàn	Nanchang	tʰ.a.n.²¹	tʰ a n ²¹	1
淡	dàn	Meixian	tʰ.a.m.⁵²	tʰ a m ⁵²	1
淡	dàn	Guangzhou	t.a:.m.²²	t a: m ²²	1
淡	dàn	Xiamen	t.a.m.³³	t a m ³³	1
